purpose,borrower_count,actual_default_rate,total_lgd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_risk_adjusted_return,avg_risk_adjusted_return,total_expected_interest_income,avg_expected_interest_income
car,90,0.07777777777777778,50.326893016832294,0.5591877001870255,551900,6132.222222222223,53749.68062905285,597.2186736561428,-4456.623129052847,-49.51803476725385,49293.0575,547.7006388888889
credit_card,1276,0.05172413793103448,699.4386503751944,0.5481494125197448,17372525,13614.831504702195,1218831.0519404714,955.1967491696485,216013.98055952854,169.28995341655843,1434845.0325,1124.4867025862068
debt_consolidation,2349,0.07747977862920391,1313.7242021631266,0.5592695624364098,29304900,12475.478927203065,2415255.351929682,1028.2057692335811,250909.6380703184,106.81551216275794,2666164.99,1135.021281396339
educational,4,0.25,2.260450157036742,0.5651125392591855,24400,6100.0,2793.228205611982,698.3070514029955,-67.20820561198195,-16.802051402995488,2726.02,681.505
home_improvement,448,0.0625,249.45296460570086,0.5568146531377252,4735575,10570.479910714286,340247.55051413074,759.4811395404704,54934.60948586925,122.6218961738153,395182.16000000003,882.1030357142857
house,24,0.08333333333333333,13.698099690032652,0.5707541537513605,327400,13641.666666666666,29212.95999521745,1217.2066664673937,1777.4500047825495,74.06041686593956,30990.41,1291.2670833333334
major_purchase,175,0.08571428571428572,98.79710488384114,0.5645548850505209,1230525,7031.571428571428,106204.94322114579,606.8853898351188,954.0092788542183,5.451481593452677,107158.9525,612.3368714285714
medical,86,0.18604651162790697,50.945923329625714,0.5923944573212292,443825,5160.7558139534885,59740.58616470279,694.6579786593348,-9709.436164702789,-112.90042051979987,50031.15,581.7575581395349
moving,59,0.1864406779661017,35.68431218220678,0.6048188505458777,304175,5155.5084745762715,47306.16195447461,801.7993551605866,-9980.684454474613,-169.16414329617987,37325.4775,632.6352118644068
other,367,0.10899182561307902,219.66457574316604,0.5985410783192535,1853075,5049.25068119891,263706.19883244234,718.5455009058375,-42558.79383244232,-115.96401589221341,221147.405,602.5814850136239
renewable_energy,6,0.0,3.4797049663086392,0.5799508277181066,49500,8250.0,4514.234952159735,752.3724920266226,395.2650478402648,65.87750797337746,4909.5,818.25
small_business,26,0.15384615384615385,15.40033545644041,0.5923205944784773,220725,8489.423076923076,26169.471253554453,1006.5181251367097,-2817.656253554453,-108.37139436747897,23351.815,898.1467307692308
vacation,76,0.13157894736842105,45.41833185660436,0.5976096296921627,283650,3732.2368421052633,48382.56686251274,636.6127218751676,-13228.989362512733,-174.0656495067465,35153.5775,462.547072368421
wedding,14,0.14285714285714285,8.492795334006013,0.6066282381432867,112800,8057.142857142857,18041.978108717933,1288.712722051281,-1894.9981087179317,-135.35700776556655,16146.98,1153.3557142857142
